socialMedia,time,count
twitter_status,2019-04-29,1
twitter_status,2019-05-14,5
twitter_status,2019-05-12,4
twitter_status,2019-05-21,14
twitter_status,2019-05-22,2
twitter_status,2019-05-20,24
twitter_status,2019-05-23,1
twitter_status,2019-05-19,67
twitter_status,2019-05-17,1
twitter_status,2019-05-31,1
twitter_status,2019-05-30,1
twitter_status,2019-05-28,1
twitter_status,2019-06-02,2
twitter_status,2019-05-26,2
twitter_status,2019-06-04,3
twitter_status,2019-06-08,1
twitter_status,2019-06-10,1
twitter_status,2019-06-05,2
twitter_status,2019-06-03,1
twitter_status,2019-06-18,7
twitter_status,2019-06-19,4
twitter_status,2019-06-20,3
twitter_status,2019-06-17,1
twitter_status,2019-06-12,6
twitter_status,2019-06-13,1
twitter_status,2019-06-29,19
twitter_status,2019-06-26,2
twitter_status,2019-06-28,1
twitter_status,2019-06-21,1
twitter_status,2019-06-25,1
twitter_status,2019-06-24,3
twitter_status,2019-06-22,1
twitter_status,2019-07-05,1
twitter_status,2019-07-07,2
twitter_status,2019-07-04,3
twitter_status,2019-07-06,1
twitter_status,2019-07-03,6
twitter_status,2019-07-02,4
twitter_status,2019-06-30,13
twitter_status,2019-07-16,8
twitter_status,2019-07-15,14
twitter_status,2019-07-14,84
twitter_status,2019-07-13,154
twitter_status,2019-07-09,3
twitter_status,2019-07-11,6
twitter_status,2019-07-23,5
twitter_status,2019-07-26,9
twitter_status,2019-07-24,3
twitter_status,2019-07-18,6
twitter_status,2019-07-19,2
twitter_status,2019-07-20,1
twitter_status,2019-08-03,13
twitter_status,2019-08-04,3
twitter_status,2019-08-02,5
twitter_status,2019-08-01,1
twitter_status,2019-07-28,5
twitter_status,2019-07-31,9
twitter_status,2019-07-27,4
twitter_status,2019-08-10,4
twitter_status,2019-08-13,3
twitter_status,2019-08-09,4
twitter_status,2019-08-08,16
twitter_status,2019-08-07,4
twitter_status,2019-08-05,5
twitter_status,2019-08-14,3
twitter_status,2019-08-21,1
twitter_status,2019-08-22,4
twitter_status,2019-08-15,1
twitter_status,2019-08-17,1
twitter_status,2019-08-19,2
twitter_status,2019-08-31,66
twitter_status,2019-08-27,3
twitter_status,2019-08-24,4
twitter_status,2019-08-25,1
twitter_status,2019-08-23,1
twitter_status,2019-09-06,4
twitter_status,2019-09-04,15
twitter_status,2019-09-07,4
